name,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,cuisines,highlights,all_reviews_count,photo_count
South & More,18.5323899000,73.8767475000,300,1,3.4,51,"South Indian, Street Food, Beverages","['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",14,12
Cafe Farmhouse,18.5325624266,73.8766300678,300,1,0,0,"Fast Food, Beverages","['Dinner', 'Cash', 'Breakfast', 'Lunch', 'Takeaway Available', 'Indoor Seating']",0,0
Maharaja,18.5326326802,73.8766384497,600,2,4.1,188,"Maharashtrian, North Indian, Chinese","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Lunch Menu', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned']",66,77
Vohuman Cafe,18.5325824537,73.8765905052,250,1,4.6,4603,Street Food,"['Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating']",1996,1951
Madras Coffee House,18.5326625619,73.8765133917,350,1,4.1,533,"South Indian, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'All Day Breakfast', 'Digital Payments Accepted', 'Pure Veg']",76,116
Cafe Farm House,18.5325967587,73.8764734939,200,1,0,8,"Fast Food, Street Food, Beverages","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted']",2,1
Kata Kirr,18.5328358116,73.8765593246,150,1,3.4,861,"Street Food, Maharashtrian","['Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",174,94
Ahling,18.5321895415,73.8765710592,800,2,4.1,947,"Singaporean, Seafood, Chinese","['Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned']",160,131
Baker's Basket,18.5331660982,73.8766803592,400,1,3.8,106,"Bakery, Desserts, Fast Food","['Delivery', 'No Alcohol Available', 'Cash', 'Breakfast', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes']",8,13
Hotel Marymatha,18.5318945389,73.8765314966,350,1,3.2,45,"South Indian, North Indian","['Takeaway Available', 'Breakfast', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",11,7
Woodland's Express,18.5318449479,73.8766827062,500,2,3.3,80,"North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages","['No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",16,7
Baskin Robbins,18.5333682753,73.8765499368,300,1,2.8,24,"Ice Cream, Desserts, Beverages","['Delivery', 'Cash', 'Takeaway Available', 'Desserts and Bakes', 'Indoor Seating', 'Pure Veg']",5,108
Foodland Restaurant,18.5315989000,73.8771973550,1200,3,3.5,80,"North Indian, Chinese, Continental, Mughlai, Biryani","['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Free Parking', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Indoor Seating']",33,5
Jalsa Family Garden Restaurant,18.5318767370,73.8759719208,750,2,3.4,5,"North Indian, Chinese, Mughlai, Malwani, Mangalorean","['Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Table Reservation Not Required', 'Smoking Area', 'Outdoor Seating']",2,3
Punjab Da Tashan,18.5315295996,73.8762307540,450,1,3.3,167,"North Indian, Chinese, South Indian","['Delivery', 'Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",22,13
ROYCE' Chocolate,18.5313260000,73.8767860000,1000,3,3.9,0,Desserts,"['Standing Tables', 'Cash', 'Takeaway Available', 'Debit Card', 'Mall Parking', 'Delivery', 'Credit Card', 'Desserts and Bakes']",0,0
Evviva Sky Lounge - Crowne Plaza Pune City Centre,18.5312101182,73.8768278807,2500,4,4.3,744,"Bar Food, Kebab, Mexican","['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'DJ', 'Nightlife', 'Valet Parking Available', 'Live Music', 'Air Conditioned', 'Rooftop', 'Serves Cocktails', 'Dance Floor', 'City View', 'Fullbar', 'Romantic Dining', 'Table booking recommended', 'LGBTQIA Friendly', 'Smoking Area', 'Beer', 'Wine', 'Free Parking']",465,633
Al Mustafa Dum Biryani,18.5315505805,73.8758549094,500,2,3.3,950,"North Indian, Chinese, Maharashtrian, Mughlai","['Dinner', 'Cash', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",10,0
FF - Fast N' Fresh - Crowne Plaza,18.5311799184,73.8768278807,1800,3,3.6,33,Chinese,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",25,79
Mosaic Pastry Lounge - Crowne Plaza Pune City Centre,18.5311481292,73.8768322393,600,2,3.6,15,"Bakery, Desserts, Fast Food","['Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Air Conditioned', 'Indoor Seating', '4/5 Star', 'Desserts and Bakes']",8,83
Mosaic - Crowne Plaza Pune City Centre,18.5311004453,73.8768825307,2500,4,4.1,296,"North Indian, Fast Food","['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Table booking recommended', 'Wheelchair Accessible', 'Buffet', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Brunch', 'Fullbar']",225,532
Sai Bhojanalay,18.5305771935,73.8752152026,200,1,0,1,Maharashtrian,"['Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Free Parking', 'Pure Veg', 'Outdoor Seating', 'Digital Payments Accepted']",0,2
Hidden Place - The Hangout,18.5365582543,73.8753509894,1700,3,4.3,1485,"Continental, North Indian, Finger Food, Seafood","['Debit Card', 'Delivery', 'Lunch', 'Cash', 'Credit Card', 'Takeaway Available', 'Dinner', 'Digital Payments Accepted', 'Live Sports Screening', 'Fullbar', 'Air Conditioned', 'Live Music', 'Nightlife', 'Indoor Seating', 'LGBTQIA Friendly']",710,770
Zamu's Place,18.5364660684,73.8757613674,1400,3,4.3,956,"Continental, Parsi, Salad","['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Fullbar', 'Beer', 'Table Reservation Not Required', 'Smoking Area', 'Outdoor Seating', 'Indoor Seating']",502,551
Maratha Mughlai,18.5367472222,73.8758694444,650,2,3.3,17,North Indian,"['Dinner', 'Delivery', 'Lunch', 'Outdoor Seating', 'Catering Available']",9,4
Chutney's,18.5365773273,73.8759383932,450,1,3.7,1017,"North Indian, South Indian, Chinese, Fast Food, Ice Cream, Beverages","['Cash', 'Debit Card', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Delivery', 'Lunch', 'Indoor Seating', 'Outdoor Seating', 'Pure Veg', 'Desserts and Bakes']",141,64
Mr Wada Pav,18.5366504402,73.8760004193,200,1,3.8,150,Street Food,"['Lunch', 'Standing Tables', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Pure Veg']",29,136
New Chopstick Hub,18.5364247437,73.8760141656,600,2,3.6,37,"North Indian, Chinese, Kerala","['Takeaway Available', 'Dinner', 'Credit Card', 'Delivery', 'Debit Card', 'Cash', 'Lunch', 'Digital Payments Accepted', 'Indoor Seating', 'Free Parking']",3,0
Roshan Snacks Center,18.5364733797,73.8760517165,150,1,3.9,57,South Indian,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Pure Veg']",0,0
Largo Pizzeria,18.5367960301,73.8760429993,700,2,3.7,299,"Pizza, Beverages, Desserts","['Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted']",107,211
Brugge,18.5368379905,73.8761546463,700,2,4.0,134,"Bakery, Desserts, Fast Food","['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Board Games', 'Air Conditioned', 'Desserts and Bakes', 'Indoor Seating']",75,298
Natural Fresh Ice Cream,18.5368316329,73.8761744276,200,1,3.5,12,"Ice Cream, Desserts","['Takeaway Available', 'Credit Card', 'Cash', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Disabled Friendly', 'Wifi', 'Desserts and Bakes', 'Indoor Seating', 'Kid Friendly', 'Pure Veg']",3,3
Nandu's Paratha,18.5359774823,73.8760654628,400,1,4.0,2447,North Indian,"['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted', 'Indoor Seating']",307,88
Madhuban,18.5358627263,73.8761308417,500,2,3.7,295,"North Indian, South Indian, Fast Food, Chinese","['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Pure Veg']",163,115
Just Baked,18.5357199965,73.8760644570,200,1,3.5,141,"Bakery, Fast Food","['Takeaway Available', 'Breakfast', 'Cash', 'No Alcohol Available', 'Air Conditioned', 'Indoor Seating', 'Desserts and Bakes', 'Free Parking']",72,80
Taste Of Hyderabad,18.5351795931,73.8755179569,700,2,4.0,5006,"Hyderabadi, North Indian, Chinese, Biryani, Seafood, Desserts, Beverages","['Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Outdoor Seating', 'Table booking recommended', 'Indoor Seating', 'Digital Payments Accepted']",448,104
Shree Jodhpur Sweets,18.5352654220,73.8760785386,400,1,0,2,"Mithai, Street Food","['Cash', 'Standing Tables', 'Takeaway Available', 'Digital Payments Accepted', 'Desserts and Bakes', 'Pure Veg']",1,0
Tiffin Story,18.5351050000,73.8755900000,300,1,0,1,North Indian,"['Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Digital Payments Accepted']",1,0
Fulka,18.5352654220,73.8761492819,500,2,3.2,571,"North Indian, Street Food","['Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Sodexo', 'Table Reservation Not Required']",69,21
Dabbaman.com,18.5352453952,73.8761469349,400,1,3.0,507,North Indian,"['Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Indoor Seating']",24,10
Yoko Sizzlers,18.5350174717,73.8753721118,1200,3,3.4,209,"Continental, Fast Food, Chinese","['Lunch', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'Sodexo', 'Air Conditioned']",96,104
Balaji Dosa,18.5349564377,73.8755263388,300,1,3.6,60,South Indian,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating']",1,2
Studio Lounge - Hotel Studio Estique,18.5273747047,73.8782923669,1400,3,2.8,21,"American, Italian, North Indian, South Indian","['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Table booking recommended', 'Wifi']",12,8
Gajalee,18.5274812010,73.8780392334,1000,3,4.2,647,"Seafood, Mughlai, North Indian","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Valet Parking Available', 'Indoor Seating', 'Fullbar', 'Air Conditioned']",306,493
Zanzibar - The Central Park Hotel,18.5273737510,73.8785723224,1500,3,3.2,67,"European, Chinese, North Indian, Mughlai, Mangalorean","['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Free Parking', 'Fullbar', 'Live Music', 'Table booking recommended', 'Axis Bank - Dining Delights', 'Wifi', 'Valet Parking Available', 'Gastro Pub', 'Indoor Seating', 'Air Conditioned', 'LGBTQIA Friendly', 'Wheelchair Accessible']",20,10
Time After Time - The Central Park Hotel,18.5274357414,73.8785904273,1600,3,3.8,414,"North Indian, Chinese, Thai, European, Italian","['Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Dinner', 'Cash', 'Buffet', 'Fullbar', 'Table booking recommended', 'Axis Bank - Dining Delights', 'Smoking Area', 'Wifi', 'Indoor Seating', 'Air Conditioned']",255,123
Slounge - Lemon Tree Premier,18.5280594587,73.8763960451,1200,3,3.7,24,"Finger Food, North Indian, Continental, Chinese, Thai","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Fullbar', 'Indoor Seating', 'LGBTQIA Friendly', 'Smoking Area', 'Outdoor Seating', 'Air Conditioned', 'Wheelchair Accessible']",12,35
Republic of Noodles - Lemon Tree Premier,18.5280200393,73.8763799518,1800,3,3.9,42,"Chinese, Thai, Mongolian","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Craft Beer', 'Indoor Seating', 'Fullbar', 'Air Conditioned']",26,94
Citrus Cafe - Lemon Tree Premier,18.5280867979,73.8763866574,1600,3,3.9,91,"North Indian, South Indian, Italian, Asian, Continental","['Dinner', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Outdoor Seating', 'Free Wifi', 'Wheelchair Accessible', 'Buffet']",61,159
Chavda Fast Food,18.5278143591,73.8761586696,200,1,0,1,Fast Food,"['Lunch', 'Takeaway Available', 'Delivery', 'Dinner', 'Cash', 'Breakfast', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating']",0,0
Coronation Restaurant,18.5279125897,73.8760393113,250,1,3.5,5,"North Indian, Street Food","['Breakfast', 'Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Free Parking', 'Indoor Seating']",3,5
Sagar,18.5279790305,73.8758780435,550,2,3.8,195,"North Indian, South Indian, Chinese, Fast Food, Maharashtrian, Beverages","['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Delivery', 'Breakfast', 'Sodexo', 'Indoor Seating', 'Pure Veg']",71,89
Status Family Rest-O-Bar,18.5257705768,73.8764228672,1200,3,4.1,535,"North Indian, Mughlai, Italian, Chinese","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Valet Parking Available', 'Live Music', 'Table booking recommended', 'Wifi']",149,155
Shiv Kailash,18.5279481943,73.8756205514,200,1,4.7,679,"Ice Cream, Beverages","['Cash', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Pure Veg', 'Indoor Seating', 'Desserts and Bakes']",305,244
Madhura Restaurant,18.5278938337,73.8755323738,300,1,3.2,10,"South Indian, North Indian, Street Food","['Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Lunch', 'Indoor Seating', 'Pure Veg']",1,6
Nirman Family Restaurant & Bar,18.5253964052,73.8765479252,850,2,3.1,9,"North Indian, Chinese","['Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Table Reservation Not Required', 'Smoking Area', 'Fullbar', 'Indoor Seating', 'Outdoor Seating', 'Air Conditioned']",4,4
Ghee Waala,18.5254075318,73.8764915988,250,1,0,9,North Indian,"['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Pure Veg', 'Serves Jain Food', 'Free Parking']",1,0
Hotel Neelam,18.5278566396,73.8753734529,700,2,2.7,19,"North Indian, Hyderabadi, Seafood, Chinese","['Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Lunch', 'Delivery', 'Indoor Seating']",4,5
Hotel Preetam,18.5279017812,73.8753768057,600,2,3.6,21,"North Indian, Chinese, Malwani, Biryani","['Delivery', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Indoor Seating', 'Fullbar']",3,2
Saffron & Spice,18.5247008318,73.8782269880,200,1,0,0,"Fast Food, North Indian","['Lunch', 'Standing Tables', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available']",0,0
Hindustan Tea House,18.5279679040,73.8750569522,300,1,0,3,"North Indian, Chinese, Maharashtrian","['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Free Parking']",2,0
Amit Da Dhaba,18.5245008698,73.8768241927,700,2,3.7,10,"North Indian, Mughlai","['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",7,0
Zeera - Conrad Pune,18.5347062618,73.8825788721,3000,4,4.1,163,North Indian,"['Dinner', 'Delivery', 'Credit Card', 'Cash', 'Takeaway Available', 'Debit Card', 'Valet Parking Available', 'Wine', 'Indoor Seating', 'Air Conditioned', 'Luxury Dining', 'Fullbar', 'Beer', 'Serves Cocktails', 'Table booking recommended', 'Wifi']",87,213
Kabana - Conrad Pune,18.5346836919,73.8825815544,3000,4,4.0,95,"Continental, Italian","['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Free Parking', 'Outdoor Seating', 'Beer', 'Live Music', 'Serves Cocktails', 'Table booking recommended', 'LGBTQIA Friendly', 'Smoking Area', 'Nightlife', 'Fullbar', 'Wine', 'Poolside', 'Indoor Seating', 'Air Conditioned', 'Wifi']",39,128
Masu - Conrad Pune,18.5347186593,73.8825540617,3000,4,3.8,79,Asian,"['Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Beer', 'Serves Cocktails', 'Air Conditioned', 'Nightlife', 'Outdoor Seating', 'Wine', 'Indoor Seating', 'LGBTQIA Friendly', 'Wifi', 'Fullbar']",37,27
Coriander Kitchen - Conrad Pune,18.5347186593,73.8825540617,3200,4,4.4,551,"North Indian, Asian, Mediterranean","['Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Free Parking', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Disabled Friendly', 'Luxury Dining', 'Wheelchair Accessible', 'Gluten Free Options', 'Vegan Options', 'Buffet', 'Valet Parking Available', 'Outdoor Seating', 'Romantic Dining', 'Restricted Entry', 'Kid Friendly', 'Smoking Area', 'Wifi', 'Serves Jain Food', 'Brunch']",288,1148
Koji - Conrad Pune,18.5347189772,73.8825533912,3000,4,4.1,210,"Chinese, Japanese, Thai","['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Fullbar', 'Air Conditioned', 'Luxury Dining', 'Indoor Seating', 'Wifi', 'Brunch']",100,275
Oakleaf at Oakwood Residence,18.5353661914,73.8845627010,2000,4,3.3,34,"Italian, Asian, Continental, North Indian","['Breakfast', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Wheelchair Accessible', 'Serves Jain Food', 'Lunch Menu', 'Pool Table', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Buffet', 'Desserts and Bakes', 'Free Parking', 'Valet Parking Available', 'Outdoor Seating', 'Paid Wifi', 'Table booking for Groups', 'Kid Friendly']",9,71
The Fries Cafe,18.5347809649,73.8806557283,300,1,0,2,"Fast Food, Beverages","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']",1,1
Yewale Amruttulya,18.5350263725,73.8806322590,100,1,0,2,Tea,"['Delivery', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Digital Payments Accepted']",2,0
Rolls Mania,18.5349713783,73.8806000724,300,1,3.8,2664,"Rolls, Fast Food, Beverages","['Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Sodexo', 'Ticket Restaurant']",52,51
Cafe Creamy Nuts,18.5355194117,73.8804807141,350,1,0,1,"Fast Food, Beverages","['Dinner', 'Cash', 'Breakfast', 'Lunch', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes', 'Digital Payments Accepted']",1,5
Cafe Creme,18.5354685502,73.8804438338,250,1,3.4,6,"Beverages, Ice Cream, Fast Food","['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes', 'Digital Payments Accepted']",3,9
Gopu Kohapuri,18.5350454456,73.8803932071,200,1,0,0,Street Food,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",0,0
Cafe Little Eggs,18.5353042039,73.8803968951,300,1,3.3,9,"Fast Food, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'Digital Payments Accepted']",7,9
Cafe Diamond King,18.5353433037,73.8803982362,350,1,3.4,28,"Fast Food, Sandwich, Beverages, Ice Cream","['Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Desserts and Bakes']",13,9
Ice Cream Delight,18.5354650000,73.8803080000,250,1,0,0,"Desserts, Fast Food, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes']",0,0
Fantasy Juice Bar & Snacks,18.5350765983,73.8802493736,250,1,3.9,138,"Beverages, Fast Food","['Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Lunch', 'Indoor Seating', 'Pure Veg']",44,57
SK Snacks Centre,18.5348464494,73.8802279159,150,1,0,3,Street Food,"['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Indoor Seating', 'Pure Veg']",0,1
XOXO Desserts,18.5371758986,73.8812867180,250,1,4.1,46,"Bakery, Desserts","['No Seating Available', 'Delivery', 'Takeaway Available', 'Cash', 'Desserts and Bakes']",35,57
Tangasseri,18.5326580000,73.8845250000,600,2,4.0,263,"North Indian, Goan, Sandwich, Kerala","['No Seating Available', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card']",143,61
B-Kwik,18.5372264417,73.8811774179,400,1,3.2,126,"Chinese, North Indian, Mughlai","['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Lunch', 'Delivery']",2,8
Al Burak Snacks & Caterers,18.5350650000,73.8762560000,300,1,0,4,"Pizza, Sandwich, Fast Food","['Lunch', 'Cash', 'Dinner', 'Delivery']",1,0
WS Bakers,18.5349958555,73.8758254051,300,1,4.0,131,Bakery,"['No Seating Available', 'Delivery', 'Cash', 'Takeaway Available', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted', 'Desserts and Bakes']",8,241
Roof Top Bar - Sheraton Grand,18.5300297801,73.8713152707,2900,4,3.3,21,"North Indian, Seafood, Kebab","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Air Conditioned', 'Valet Parking Available', 'Outdoor Seating', '4/5 Star', 'Fullbar']",4,7
The Lobby @ Sheraton Cafe,18.5300552116,73.8713099062,800,2,4.0,84,"Cafe, Fast Food","['Lunch', 'Cash', 'Debit Card', 'Credit Card', 'Indoor Seating', 'Valet Parking Available', 'Air Conditioned', 'Desserts and Bakes']",45,112
Chingari - Sheraton Grand,18.5300450390,73.8713021949,2500,4,4.2,559,"North Indian, Mughlai","['Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Valet Parking Available', 'Outdoor Seating', 'Romantic Dining', '4/5 Star', 'Air Conditioned', 'Luxury Dining', 'Fullbar', 'Poolside', 'Table booking recommended']",321,254
Feast - Sheraton Grand,18.5299172454,73.8715251535,3000,4,4.5,577,"North Indian, Asian, European","['Lunch', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Breakfast', 'Live Sports Screening', 'Fullbar', '4/5 Star', 'Air Conditioned', 'Luxury Dining', 'Brunch', 'Beer', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Wifi', 'Buffet', 'Desserts and Bakes']",372,1396
Domino's Pizza,18.5286841274,73.8736608624,400,1,4.0,262,"Pizza, Italian","['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Kid Friendly', 'Indoor Seating']",29,38
Subway,18.5287569258,73.8738754392,500,2,3.2,50,"Fast Food, Healthy Food, Sandwich, Salad","['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted']",11,46
Pune StrEAT,18.5287206856,73.8738958910,250,1,0,2,"South Indian, Chinese, Maharashtrian","['Dinner', 'Cash', 'Debit Card', 'Delivery', 'Breakfast', 'Lunch', 'Credit Card', 'Takeaway Available', 'Indoor Seating', 'Outdoor Seating', 'Air Conditioned']",0,6
Rail Dhaba Pune Street,18.5287194140,73.8738968968,200,1,3.5,61,"North Indian, South Indian, Chinese","['Dinner', 'Breakfast', 'Cash', 'Delivery', 'Lunch', 'Takeaway Available', 'Indoor Seating']",0,0
Samrat Queen,18.5283407983,73.8737936318,700,2,3.6,12,"North Indian, Chinese","['Takeaway Available', 'Cash', 'Debit Card', 'Dinner', 'Lunch', 'Credit Card', 'Indoor Seating', 'Fullbar', 'Air Conditioned', 'Smoking Area', 'Outdoor Seating', 'Table booking recommended']",10,15
Madhav Veg Non-veg,18.5277132673,73.8733101636,500,2,3.9,132,"North Indian, Chinese, Malwani","['Takeaway Available', 'Dinner', 'Cash', 'Delivery', 'Lunch', 'Debit Card', 'Credit Card', 'Digital Payments Accepted', 'Indoor Seating']",16,15
Shiv Shankar Wadewale,18.5304993096,73.8746314868,150,1,3.5,47,South Indian,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",0,2
Vandan Restaurant,18.5273801090,73.8732115924,500,2,3.0,261,"South Indian, North Indian, Chinese, Beverages","['Cash', 'Breakfast', 'No Alcohol Available', 'Delivery', 'Takeaway Available', 'Lunch', 'Dinner', 'Indoor Seating', 'Pure Veg']",5,2
Rice & Roti,18.5311414534,73.8745379448,600,2,2.9,10,"North Indian, Chinese, Continental","['Lunch', 'Cash', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Table Reservation Not Required', 'Wifi']",0,4
